@relation InstanceResultListener

@attribute Key_Dataset {fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.01 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.1 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.5 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.5 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.5 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.5 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.5 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 20','-L 0.1 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 20','-L 0.1 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.1 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.1 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.01 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 2','-L 1.0E-4 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 2','-L 1.0E-4 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.01 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 5','-L 0.01 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 10','-L 1.0E-4 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 10','-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 20','-L 0.01 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 20'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0052,1080,120,12,108,0,10,90,0,0,0.18,0.3,100.000049,100.000062,398.631371,398.632341,-0.000969,3.321928,3.321936,-0.000008,0.097285,0.000811,0.024405,0,0,0,0,1,108,1,12,?,0,?,?,0.678241,0.161682,0.1,0.1,0.9,0.9,?,0.1,?,?,0.577778,0.173404,?,0.1,12.031,0.013,11.984375,0.015625,11984.375,15.625,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0052,1080,120,12,108,0,10,90,0,0,0.18,0.3,99.999972,99.99999,398.631371,398.631217,0.000154,3.321928,3.321927,0.000001,0.132232,0.001102,0.033172,0,0,0,0,1,108,1,12,?,0,?,?,0.756944,0.194837,0.1,0.1,0.9,0.9,?,0.1,?,?,0.537963,0.163733,?,0.1,12.247,0.002,12.203125,0,12203.125,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0052,1080,120,12,108,0,10,90,0,0,0.18,0.3,99.999975,99.999991,398.631371,398.631232,0.00014,3.321928,3.321927,0.000001,0.118101,0.000984,0.029627,0,0,0,0,1,108,1,12,?,0,?,?,0.76466,0.289189,0.1,0.1,0.9,0.9,?,0.1,?,?,0.524228,0.153854,?,0.1,12.174,0.003,12.046875,0,12046.875,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0053,1080,120,12,108,0,10,90,0,0,0.18,0.3,99.99999,100.000033,398.631371,398.631881,-0.00051,3.321928,3.321932,-0.000004,0.191423,0.001595,0.04802,0,0,0,0,1,108,1,12,?,0,?,?,0.740741,0.211579,0.1,0.1,0.9,0.9,?,0.1,?,?,0.483025,0.134701,?,0.1,11.963,0.002,11.90625,0,11906.25,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0053,1080,120,12,108,0,10,90,0,0,0.18,0.3,100.000052,100.00007,398.631371,398.632459,-0.001088,3.321928,3.321937,-0.000009,0.124274,0.001036,0.031175,0,0,0,0,1,108,1,12,?,0,?,?,0.751543,0.18846,0.1,0.1,0.9,0.9,?,0.1,?,?,0.506019,0.128078,?,0.1,12.247,0.002,12.21875,0,12218.75,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0053,1080,120,11,109,0,9.166667,90.833333,0,-0.009259,0.180001,0.300001,100.000389,100.000415,398.631371,398.637833,-0.006462,3.321928,3.321982,-0.000054,0.145159,0.00121,0.036414,0,0,0,0,1,108,1,12,?,0,?,?,0.550154,0.119137,0.091667,0.100926,0.899074,0.908333,?,0.091667,?,?,0.521605,0.138882,?,0.091667,13.023,0.003,12.984375,0,12984.375,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0053,1080,120,12,108,0,10,90,0,0,0.18,0.3,99.999974,99.999981,398.631371,398.63108,0.000291,3.321928,3.321926,0.000002,0.071714,0.000598,0.01799,0,0,0,0,1,108,1,12,?,0,?,?,0.747685,0.211204,0.1,0.1,0.9,0.9,?,0.1,?,?,0.547068,0.160336,?,0.1,12.453,0.001,12.40625,0,12406.25,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0053,1080,120,12,108,0,10,90,0,0,0.18,0.3,99.99998,100.000012,398.631371,398.631557,-0.000186,3.321928,3.32193,-0.000002,0.154197,0.001285,0.038682,1,12,1,108,0,0,0,0,0.1,1,0.181818,?,0.631173,0.206728,0.1,0.1,0.9,0.9,?,0.1,?,?,0.517747,0.148649,?,0.1,11.339,0.002,11.34375,0,11343.75,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.001 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H 1',-5990607817048210779,20190115.0054,1080,120,12,108,0,10,90,0,0,0.18,0.3,100.000005,100.000039,398.631371,398.631972,-0.0006,3.321928,3.321933,-0.000005,0.137035,0.001142,0.034376,0,0,0,0,1,108,1,12,?,0,?,?,0.720679,0.188295,0.1,0.1,0.9,0.9,?,0.1,?,?,0.530093,0.151387,?,0.1,11.177,0.001,11.09375,0,11093.75,0,260746,6854107,797467,100,100,?
