@relation InstanceResultListener

@attribute Key_Dataset {fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-U -M 1','-C 0.25 -M 1','-U -M 2','-C 0.25 -M 2','-U -M 5','-C 0.25 -M 5','-U -M 10','-C 0.25 -M 10','-U -M 20','-C 0.25 -M 20'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 153\nSize of the tree: 305\n','Number of leaves: 157\nSize of the tree: 313\n','Number of leaves: 150\nSize of the tree: 299\n','Number of leaves: 152\nSize of the tree: 303\n','Number of leaves: 151\nSize of the tree: 301\n','Number of leaves: 139\nSize of the tree: 277\n','Number of leaves: 155\nSize of the tree: 309\n','Number of leaves: 156\nSize of the tree: 311\n','Number of leaves: 138\nSize of the tree: 275\n','Number of leaves: 140\nSize of the tree: 279\n','Number of leaves: 131\nSize of the tree: 261\n','Number of leaves: 136\nSize of the tree: 271\n','Number of leaves: 134\nSize of the tree: 267\n','Number of leaves: 143\nSize of the tree: 285\n','Number of leaves: 114\nSize of the tree: 227\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 19\nSize of the tree: 37\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.583333,7,0.018519,2,0.981481,106,0.416667,5,0.777778,0.583333,0.666667,0.643318,0.782407,0.49537,0.708333,0.032407,0.967593,0.291667,0.732879,0.708333,0.711609,0.684746,0.837963,0.562728,0.711609,0.708333,1.67,0,1.671875,0,1671.875,0,146173,6854107,797467,70.833333,10,'Number of leaves: 153\nSize of the tree: 305\n',305,153,153
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,88,32,0,73.333333,26.666667,0,0.703704,0.053333,0.23094,29.62963,76.980036,398.631371,34368,-33969.368629,3.321928,286.4,-283.078072,287.465573,2.395546,8653.57603,0.583333,7,0,0,1,108,0.416667,5,1,0.583333,0.736842,0.746674,0.791667,0.625,0.733333,0.02963,0.97037,0.266667,0.764318,0.733333,0.739331,0.715468,0.851852,0.596919,0.739331,0.733333,1.222,0,1.171875,0,1171.875,0,148909,6854107,797467,73.333333,10,'Number of leaves: 157\nSize of the tree: 313\n',313,157,157
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,3,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.583333,7,0.037037,4,0.962963,104,0.416667,5,0.636364,0.583333,0.608696,0.567964,0.773148,0.412879,0.708333,0.032407,0.967593,0.291667,0.714376,0.708333,0.705553,0.676789,0.837963,0.549746,0.705553,0.708333,1.202,0,1.125,0,1125,0,144121,6854107,797467,70.833333,10,'Number of leaves: 150\nSize of the tree: 299\n',299,150,150
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,4,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,90,30,0,75,25,0,0.722222,0.05,0.223607,27.777778,74.535599,398.631371,32220,-31821.368629,3.321928,268.5,-265.178072,294.413436,2.453445,8862.727528,0.666667,8,0.037037,4,0.962963,104,0.333333,4,0.666667,0.666667,0.666667,0.62963,0.814815,0.477778,0.75,0.027778,0.972222,0.25,0.748125,0.75,0.74159,0.718658,0.861111,0.604631,0.74159,0.75,1.256,0,1.21875,0,1218.75,0,145489,6854107,797467,75,10,'Number of leaves: 152\nSize of the tree: 303\n',303,152,152
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,5,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.916667,11,0.037037,4,0.962963,104,0.083333,1,0.733333,0.916667,0.814815,0.797925,0.939815,0.680556,0.708333,0.032407,0.967593,0.291667,0.707294,0.708333,0.703915,0.674054,0.837963,0.550658,0.703915,0.708333,1.103,0,1.046875,0,1046.875,0,144805,6854107,797467,70.833333,10,'Number of leaves: 151\nSize of the tree: 301\n',301,151,151
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,6,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,77,43,0,64.166667,35.833333,0,0.601852,0.071667,0.267706,39.814815,89.235436,398.631371,46182,-45783.368629,3.321928,384.85,-381.528072,249.25233,2.077103,7503.242791,0.666667,8,0.064815,7,0.935185,101,0.333333,4,0.533333,0.666667,0.592593,0.545949,0.800926,0.388889,0.641667,0.039815,0.960185,0.358333,0.672201,0.641667,0.645261,0.61236,0.800926,0.505456,0.645261,0.641667,1.156,0,1.0625,0,1062.5,0,136597,6854107,797467,64.166667,10,'Number of leaves: 139\nSize of the tree: 277\n',277,139,139
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,7,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,91,29,0,75.833333,24.166667,0,0.731481,0.048333,0.219848,26.851852,73.282811,398.631371,31146,-30747.368629,3.321928,259.55,-256.228072,297.887367,2.482395,8967.303277,0.75,9,0.018519,2,0.981481,106,0.25,3,0.818182,0.75,0.782609,0.760495,0.865741,0.638636,0.758333,0.026852,0.973148,0.241667,0.7687,0.758333,0.756521,0.734042,0.865741,0.619675,0.756521,0.758333,1.403,0,1.359375,0,1359.375,0,147541,6854107,797467,75.833333,10,'Number of leaves: 155\nSize of the tree: 309\n',309,155,155
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,8,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065,0.254951,36.111111,84.983659,398.631371,41886,-41487.368629,3.321928,349.05,-345.728072,263.148055,2.1929,7921.545787,0.5,6,0.018519,2,0.981481,106,0.5,6,0.75,0.5,0.6,0.579066,0.740741,0.425,0.675,0.036111,0.963889,0.325,0.676376,0.675,0.666894,0.636392,0.819444,0.496672,0.666894,0.675,1.387,0,1.265625,0,1265.625,0,148225,6854107,797467,67.5,10,'Number of leaves: 156\nSize of the tree: 311\n',311,156,156
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,9,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0407,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065,0.254951,36.111111,84.983659,398.631371,41886,-41487.368629,3.321928,349.05,-345.728072,263.148055,2.1929,7921.545787,0.75,9,0.083333,9,0.916667,99,0.25,3,0.5,0.75,0.6,0.560112,0.833333,0.4,0.675,0.036111,0.963889,0.325,0.697104,0.675,0.673098,0.645071,0.819444,0.511655,0.673098,0.675,1.072,0,1.0625,0,1062.5,0,148225,6854107,797467,67.5,10,'Number of leaves: 156\nSize of the tree: 311\n',311,156,156
