@relation InstanceResultListener

@attribute Key_Dataset {fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1','-L 0.001 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1','-L 0.01 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1','-L 0.1 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1','-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 5','-L 0.001 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 5','-L 0.01 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 5','-L 0.1 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 5','-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 10','-L 0.001 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 10','-L 0.01 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 10','-L 0.1 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 10','-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 20','-L 0.001 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 20','-L 0.01 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 20','-L 0.1 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 20'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1733,1080,120,12,108,0,10,90,0,0,0.18,0.300009,100.000139,100.002898,398.631371,398.676998,-0.045626,3.321928,3.322308,-0.00038,1.390202,0.011585,41.84926,1,12,1,108,0,0,0,0,0.1,1,0.181818,?,0.646605,0.143904,0.1,0.1,0.9,0.9,?,0.1,?,?,0.506173,0.146584,?,0.1,15.465,0,15.234375,0,15234.375,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1733,1080,120,12,108,0,10,90,0,0,0.18,0.300016,99.999954,100.005438,398.631371,398.717012,-0.085641,3.321928,3.322642,-0.000714,2.089121,0.017409,62.888806,0,0,0,0,1,108,1,12,?,0,?,?,0.716049,0.169507,0.1,0.1,0.9,0.9,?,0.1,?,?,0.624691,0.207537,?,0.1,13.261,0,12.9375,0,12937.5,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1733,1080,120,12,108,0,10,90,0,0,0.18,0.300005,100.000017,100.001502,398.631371,398.654675,-0.023303,3.321928,3.322122,-0.000194,0.890867,0.007424,26.817764,0,0,0,0,1,108,1,12,?,0,?,?,0.73534,0.263262,0.1,0.1,0.9,0.9,?,0.1,?,?,0.386574,0.103739,?,0.1,17.669,0,17.5625,0,17562.5,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1733,1080,120,12,108,0,10,90,0,0,0.18,0.300024,100.000049,100.008044,398.631371,398.756529,-0.125158,3.321928,3.322971,-0.001043,2.291192,0.019093,68.971749,0,0,0,0,1,108,1,12,?,0,?,?,0.712963,0.196309,0.1,0.1,0.9,0.9,?,0.1,?,?,0.483488,0.137225,?,0.1,15.341,0,14.09375,0,14093.75,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1734,1080,120,12,108,0,10,90,0,0,0.18,0.300015,100.000146,100.00503,398.631371,398.709539,-0.078167,3.321928,3.322579,-0.000651,1.990247,0.016585,59.912396,0,0,0,0,1,108,1,12,?,0,?,?,0.714506,0.167843,0.1,0.1,0.9,0.9,?,0.1,?,?,0.485031,0.12745,?,0.1,17.699,0.002,15.734375,0,15734.375,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1734,1080,120,12,108,0,10,90,0,0,0.180001,0.300011,100.00045,100.003823,398.631371,398.691633,-0.060261,3.321928,3.32243,-0.000502,1.356767,0.011306,40.842742,0,0,0,0,1,108,1,12,?,0,?,?,0.535494,0.114913,0.1,0.1,0.9,0.9,?,0.1,?,?,0.42716,0.112117,?,0.1,16.114,0,15.328125,0,15328.125,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1734,1080,120,12,108,0,10,90,0,0,0.18,0.300011,100.000061,100.003798,398.631371,398.690962,-0.059591,3.321928,3.322425,-0.000497,1.630297,0.013586,49.076822,0,0,0,0,1,108,1,12,?,0,?,?,0.719136,0.183414,0.1,0.1,0.9,0.9,?,0.1,?,?,0.503858,0.136934,?,0.1,17.475,0.002,16.65625,0,16656.25,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1734,1080,120,12,108,0,10,90,0,0,0.18,0.300016,99.999973,100.00549,398.631371,398.716902,-0.085531,3.321928,3.322641,-0.000713,2.248937,0.018741,67.699742,0,0,0,0,1,108,1,12,?,0,?,?,0.604167,0.169915,0.1,0.1,0.9,0.9,?,0.1,?,?,0.503704,0.15514,?,0.1,14.53,0,13.40625,0,13406.25,0,260746,6854107,797467,100,100,?
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0E-4 -M 0.8 -N 1000 -V 10 -S 0 -E 20 -H 1',-5990607817048210779,20180206.1735,1080,120,12,108,0,10,90,0,0,0.18,0.300013,100.00002,100.004313,398.631371,398.698243,-0.066872,3.321928,3.322485,-0.000557,1.388338,0.011569,41.79314,0,0,0,0,1,108,1,12,?,0,?,?,0.69213,0.169233,0.1,0.1,0.9,0.9,?,0.1,?,?,0.47608,0.140379,?,0.1,13.332,0,13.296875,0,13296.875,0,260746,6854107,797467,100,100,?
